"","business_lat","business_long","business_park","business_price","business_open","business_cat","n_photo","cum_n_tips","cum_max_friends","cum_max_u_elite","cum_max_us_fans","cum_max_us_rev","male","female","ch_in","date"
"1",36.0420628,-115.2781558,"true",2,"True","Others",40,51,3198,13,415,3061,9,15,1,2018-03-10
"2",36.0552438,-115.2258702,"true",2,"True","Asian",123,21,2607,13,415,3061,7,9,1,2015-04-22
"3",36.0719274658,-115.1070339563,"true",1,"True","Others",39,6,961,9,90,1019,4,2,1,2011-12-13
"4",36.109418,-115.1718738,"true",1,"True","American",53,33,2916,10,219,1664,4,9,1,2012-02-09
"5",36.1079241113,-115.1740550995,"true",4,"True","American",63,15,1060,13,364,1988,3,9,0,2015-02-04
"6",33.3649138593,-111.9305216116,"true",1,"True","Others",2,5,111,5,23,440,2,1,1,2014-06-10
"7",35.9949501,-115.2062178,"true",2,"True","American",26,31,3198,9,378,1431,8,10,1,2014-11-02
"8",40.4559632,-79.9313287,"true",2,"True","American",12,7,353,6,65,823,1,2,1,2016-01-27
"9",36.1595762338,-115.2330892995,"true",2,"True","Asian",56,5,1801,9,283,2421,3,2,1,2015-01-29
"10",36.1265668,-115.2132314,"true",2,"True","Others",43,9,3558,9,378,1614,4,2,1,2016-07-08
"11",36.109837,-115.174212,"true",1,"True","Others",138,33,1713,11,236,1209,8,15,1,2012-07-27
"12",36.115520451,-115.1349705842,"true",2,"True","Others",25,15,693,8,77,1604,6,4,1,2012-01-03
"13",36.1042269,-115.1721488,"true",2,"True","American",34,3,3975,4,730,907,0,3,1,2012-05-19
"14",36.1129962,-115.1633962,"true",1,"True","American",23,4,446,10,53,478,1,1,1,2010-08-07
"15",36.1102405779,-115.1742884517,"true",3,"True","Others",51,4,1713,10,208,987,0,4,1,2012-03-19
"16",43.698613,-79.396484,"true",2,"True","American",6,1,84,7,42,532,0,1,0,2015-03-23
"17",36.1259456853,-115.2219796307,"true",2,"True","Others",78,3,1060,9,183,1606,1,1,1,2016-11-19
"18",36.179939,-115.206417,"true",1,"True","Asian",12,5,3975,9,730,1019,2,1,1,2011-08-10
"19",36.0154353334,-115.1194969015,"true",1,"True","Mexican",2,2,2916,9,219,1664,0,2,1,2012-03-24
"20",36.1006463107,-115.3020415166,"true",1,"True","Others",7,9,1193,7,122,631,2,4,1,2016-06-25
"21",36.0800571269,-115.1182481446,"true",1,"True","American",12,2,1170,7,177,1232,2,0,1,2016-06-27
"22",43.681016,-79.4303768,"true",2,"True","Others",20,8,3233,8,478,1274,2,2,1,2017-10-07
"23",43.7537215,-79.3494213,"true",2,"True","Others",12,1,233,2,103,1181,0,0,1,2012-07-26
"24",36.0420620086,-115.1834150541,"true",2,"True","American",12,6,904,7,178,1606,3,1,1,2013-05-25
"25",43.6697687,-79.382838,"true",2,"False","Others",13,6,233,6,103,1181,3,2,1,2018-01-14
"26",36.1073485,-115.1765836,"true",3,"True","American",90,2,1060,9,183,540,0,2,1,2016-05-28
"27",43.6663211,-79.3872946,"true",2,"True","Others",34,1,244,10,45,432,1,0,0,2010-10-24
"28",36.169326,-115.140097,"true",2,"True","American",66,14,3975,7,730,1232,7,3,1,2013-11-12
"29",35.9949501,-115.2062178,"true",2,"True","American",26,13,693,4,76,573,1,5,1,2012-07-20
"30",43.6605167515,-79.3431122999,"true",2,"False","Mexican",5,5,1451,7,418,993,1,2,1,2013-12-27
"31",36.0254348939,-115.0467334683,"true",1,"True","Others",11,9,3022,7,641,4321,1,3,1,2017-11-07
"32",36.1714234,-115.2452456,"true",1,"True","American",39,27,3198,9,378,1664,4,13,0,2013-07-30
"33",36.109413,-115.172353,"true",1,"False","Others",11,7,955,7,165,1185,3,3,1,2013-02-07
"34",36.2382786609,-115.1192357197,"true",1,"True","American",6,3,176,11,5,107,1,2,1,2013-11-01
"35",40.3389986,-80.0522262,"true",2,"True","Others",1,1,24,1,3,41,1,0,1,2011-09-03
"36",35.175325,-80.849762,"false",2,"True","American",10,2,1864,6,154,484,0,2,1,2017-01-13
"37",35.3695912,-80.716634,"true",2,"True","Others",17,2,401,7,90,850,0,1,1,2014-03-29
"38",33.6283902,-111.893335,"true",2,"True","American",8,5,471,9,55,1022,0,2,1,2012-01-10
"39",36.127704971,-115.2240540365,"true",1,"True","Others",17,4,427,3,23,139,2,2,1,2016-08-30
"40",36.0568211,-115.0414696,"true",1,"True","Others",3,4,818,9,146,1067,1,3,1,2016-02-20
"41",33.5050197247,-111.9687994122,"true",3,"True","Others",24,3,471,9,55,616,0,3,1,2013-06-05
"42",35.2098855155,-80.8355979086,"true",2,"True","Others",3,2,237,8,69,932,0,1,0,2018-01-14
"43",36.125964,-115.1976,"true",1,"True","Others",17,21,3975,9,730,1664,6,6,1,2012-06-28
"44",33.533628,-112.261572,"true",2,"True","American",3,3,506,2,20,202,1,2,1,2018-04-10
"45",33.5409028387,-111.8697237968,"true",2,"True","Others",19,1,325,10,8,81,1,0,1,2011-02-08
"46",36.112859,-115.172434,"true",2,"True","Others",225,58,3746,13,596,3061,15,20,1,2015-07-03
"47",36.195285,-115.24816,"true",2,"True","Others",23,4,3975,4,730,907,1,3,0,2012-07-11
"48",36.1022507,-115.1699679,"true",2,"True","Others",11,20,3094,9,283,2421,8,8,1,2012-06-05
"49",36.1216467,-115.144848,"true",1,"False","Others",1,2,812,8,35,1117,1,0,0,2011-11-16
"50",36.063167,-115.037421,"true",2,"True","Others",23,6,856,4,45,371,3,1,1,2013-12-23
"51",36.097340676,-115.1763394271,"false",2,"True","Others",24,34,4351,9,738,2229,11,15,1,2018-09-07
"52",33.679015,-111.974484,"true",2,"False","American",42,2,229,8,19,291,0,2,0,2011-10-03
"53",43.0750277,-89.3919986,"true",1,"True","Others",1,1,2940,7,289,867,1,0,1,2014-06-20
"54",45.523205,-73.5613,"true",2,"True","American",15,2,206,6,18,310,1,0,1,2016-11-03
"55",36.0708818595,-115.2432708657,"true",2,"True","Others",15,4,693,4,76,573,1,2,1,2013-12-25
"56",36.0577242,-115.1225863,"true",2,"True","Others",5,7,1014,8,75,852,3,3,1,2014-06-06
"57",36.0050994,-115.1127157,"false",2,"True","Others",20,1,818,7,146,520,0,1,1,2018-06-03
"58",43.6590974,-79.3820781,"false",1,"True","Asian",8,2,60,7,10,199,0,1,0,2013-11-08
"59",36.1336673317,-115.1630947555,"true",2,"True","American",90,15,2916,12,251,1668,5,7,1,2012-12-21
"60",33.4223956225,-111.924355901,"true",1,"True","American",4,4,476,6,75,583,1,2,1,2014-07-01
"61",33.448424817,-112.0748020516,"true",2,"False","American",2,1,1,8,0,13,0,1,1,2013-02-10
"62",43.6651314099,-79.4108515895,"true",2,"True","Others",41,17,3233,10,478,1274,4,8,1,2018-01-28
"63",43.8019756,-79.295159,"true",3,"True","Others",79,2,97,7,12,330,1,0,0,2013-01-18
"64",36.0579243227,-115.2433380223,"true",2,"True","American",4,15,1586,10,148,979,6,6,1,2015-06-22
"65",36.1128904151,-115.2975437254,"true",1,"False","Mexican",1,3,1997,6,309,858,1,1,1,2013-12-17
"66",33.6220938744,-111.8730840786,"true",3,"True","Others",11,2,2065,1,105,1266,2,0,1,2011-10-03
"67",36.0758761,-115.1817259,"true",2,"True","American",67,19,3198,9,378,1431,6,7,1,2014-02-14
"68",36.0667760026,-115.0424710484,"false",2,"True","Others",67,26,3558,9,376,1614,5,9,1,2016-06-09
"69",36.144875,-115.302719,"true",2,"False","Others",6,23,3094,9,596,2963,7,9,1,2014-06-22
"70",36.10955,-115.176155,"true",3,"True","Others",642,2,352,9,48,584,0,2,1,2011-02-19
"71",33.45496,-112.079908,"true",2,"True","Others",32,28,819,10,125,726,4,9,1,2014-03-16
"72",41.400715,-81.625622,"true",2,"True","American",4,6,545,7,95,867,2,0,1,2017-04-16
"73",36.1336673317,-115.1630947555,"true",2,"True","American",90,12,2916,12,251,1668,5,5,1,2012-08-25
"74",41.5036701,-81.691598,"true",2,"True","American",21,1,33,3,7,152,0,1,1,2015-04-05
